GROUP,png_path,copied_to,src_hash,dest_hash
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0023ace3.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\002e7de0.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0031ead8.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0032ead8.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00367807.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0036ea81.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00380922.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0038f08e.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003c8502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003d8502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003e8502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003e9364.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003f0404.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003f8502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\003fc7c9.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00408502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0040cd15.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00418502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00428502.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00443f1d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00453f1d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00459114.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\004613c2.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00463f1d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00469114.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00479114.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00481d9d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00491714.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00491d9d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\004acd8a.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\004b67e5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\004c1d9d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\004c67e5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\004f1d9d_86994cb2425e706d85d38eb0d74da538.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0055e1c2.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0056e1c2.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\005fbe37.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0066a618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00671d9d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0067a618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00681d9d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00689021.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0068a618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00691d9d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00699021.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006aa618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006af2ba.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006af2bb.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006b9021.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006ba618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006bcf85.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006bcf85_3bbce8b6d10a47883f9038737995145a.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006c556d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006c9021.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006caeb5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006cc7ed.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006d556d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006daeb5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006e6ff1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006e99ea.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006eaeb5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006f2b75.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006f6ff1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006f7421.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\006faeb5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00706ff1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0070aeb5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0072466d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\007246ed.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0072476d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00726ff1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00746ff1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00749dfd.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00758632.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0076cd21.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00774c18.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0078adc6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\007a9dfd.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\007be718.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\007f6817.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0083fa46.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0085a618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00892df9.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\008ba618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\008c9a00.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\008cc589.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\008db9df.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\008dbe37.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00938001.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0099a618.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\009ac0bf.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\009bc0bf.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\009eafa1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\009fa21b.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\009fafa1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00a69783.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00a891e2.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00a936cb.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00acbe37.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ad7f33.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00b087b2.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00b25d10.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00b6ea23.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00b6eb2c.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00b99205.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00be80b9.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00bf085a.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c1181b.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c5a3fd.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c6157c.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c6feb6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c6fef1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c8e1b5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00c9e1b5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ccb0a6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00cd868e.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00cdb0a6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00cdeba7.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ce999d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ceb0a6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ceeba7.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00cfb0a6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00cfeba7.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d0b0a6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d0eba7.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d1b0a6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d1eba7.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d27f22.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d37f22.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d57f22.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00d7a5d6.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00e103ff.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00e20d51.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00e22d51.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00e4b51b.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00e9800a.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ec73af.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00f08bb3.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00f41462.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00f51462.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00f84320.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00f94320.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00fad318.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00fe564d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00ff04ea.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\1_chuou_1f_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\1_chuou_b1_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\1f_live_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\1f_live_left_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\234284_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\24c_over_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\2_chuou_1f_kuki_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\2_chuou_b1_roka_01_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\2f_live_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\2f_live_left_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\352537_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\373737_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\3f_live_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\3f_live_left_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\4f_live_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\5f_souda_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\865888_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\888888_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\a_kaitei_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\a_okujou_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ab_renraku_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\acd_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop10_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop11_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop2_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop3_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop4_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop5_alp_ovl.bmp_e350349959b1556776f7b5d2e07689fc.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop6_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop8_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\act_telop9_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_door_kage_alp_sub_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_door_kage_alp_sub_ovl.bmp_192ceb88aee6631d717247db16075c3d.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_ent_lit_alp_add_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_jejunum_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_line_alp_add_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_line_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_rouka_kage01_alp_sub_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ag_stmach_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ak_sp_tx_mk_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\ak_tx_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\aks_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\aks_sp2_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\aks_sp_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\alpha03_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\alt_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\alt_b_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\amg_memori_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\amg_silhoue_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\amg_yogoshi_sub_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\aoyama_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\aps_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\at_break_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\at_normal_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\azabu_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\b_henden_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bc_renraku_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bel_lig02_alp_add_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blk_msk_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blood_1bw_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blood_1c_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blood_2_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blood_2bw_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blood_2bw_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\blt_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombgas1_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombgas2_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombgas3_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombgas6_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombpowder1_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombpowder2_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombpowder6_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombpowder7_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombsphere01_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombsphere03_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bombsphere04_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bsn1_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\bsn2_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\button_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\c4_a_beruto2_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\c4_a_beruto3_msk.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\c4_a_sen1_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\c4_ovl_alp.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\c_shokudou_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\cam_arm_mark_dt_sub_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\cam_chest_bo_dt_sub_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\cam_chest_na_dt_sub_alp_ovl.bmp.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\cam_chest_sm_dt_sub_alp_ovl.bmp.png,,,
